freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.100e+01,4.026e+02,6.865e+00,4.204e+02
1.5,1.979e+01,2.919e+02,2.268e+01,3.344e+02
3.0,1.681e+01,8.838e+01,2.765e+01,1.328e+02
4.5,1.775e+01,3.298e+02,2.826e+01,3.758e+02
6.0,2.048e+01,1.170e+03,2.929e+01,1.220e+03
7.5,1.960e+01,1.961e+03,2.968e+01,2.010e+03
9.0,2.162e+01,2.838e+03,2.876e+01,2.888e+03
10.5,2.537e+01,4.029e+03,2.862e+01,4.083e+03
12.0,2.594e+01,5.618e+03,3.324e+01,5.677e+03
13.5,2.695e+01,5.571e+03,3.837e+01,5.637e+03
15.0,2.751e+01,5.670e+03,3.918e+01,5.736e+03
16.5,2.858e+01,7.618e+03,3.184e+01,7.678e+03
18.0,3.258e+01,9.908e+03,2.836e+01,9.969e+03
19.5,4.044e+01,1.189e+04,2.831e+01,1.196e+04
21.0,4.608e+01,1.265e+04,2.993e+01,1.272e+04
22.5,4.956e+01,1.512e+04,3.301e+01,1.521e+04
24.0,5.515e+01,1.838e+04,3.541e+01,1.847e+04
25.5,5.899e+01,2.184e+04,3.811e+01,2.194e+04
27.0,6.500e+01,2.556e+04,4.042e+01,2.567e+04
28.5,8.067e+01,2.934e+04,3.852e+01,2.946e+04
30.0,1.088e+02,3.379e+04,3.671e+01,3.393e+04
31.5,1.790e+02,3.902e+04,3.924e+01,3.924e+04
33.0,3.319e+02,4.407e+04,3.861e+01,4.444e+04
34.5,5.062e+02,5.002e+04,3.585e+01,5.056e+04
36.0,6.666e+02,5.618e+04,3.418e+01,5.688e+04
37.5,8.280e+02,6.496e+04,3.311e+01,6.583e+04
39.0,1.071e+03,7.370e+04,3.135e+01,7.480e+04
40.5,1.363e+03,8.241e+04,3.125e+01,8.380e+04
42.0,1.553e+03,9.654e+04,4.578e+01,9.814e+04
43.5,1.618e+03,1.110e+05,6.815e+01,1.127e+05
45.0,1.629e+03,1.213e+05,8.168e+01,1.230e+05
46.5,1.509e+03,1.295e+05,9.093e+01,1.311e+05
48.0,1.389e+03,1.333e+05,1.028e+02,1.348e+05
49.5,1.483e+03,1.342e+05,8.925e+01,1.358e+05
51.0,1.981e+03,1.397e+05,6.711e+01,1.417e+05
52.5,3.022e+03,1.596e+05,7.692e+01,1.627e+05
54.0,5.129e+03,1.954e+05,1.100e+02,2.006e+05
55.5,8.612e+03,2.366e+05,1.964e+02,2.454e+05
57.0,1.333e+04,2.661e+05,4.020e+02,2.798e+05
58.5,2.120e+04,2.950e+05,1.038e+03,3.172e+05
60.0,2.872e+04,3.437e+05,2.455e+03,3.749e+05
61.5,2.871e+04,3.912e+05,3.557e+03,4.234e+05
63.0,2.667e+04,4.311e+05,3.731e+03,4.615e+05
64.5,2.322e+04,4.593e+05,3.748e+03,4.862e+05
