freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.740e+00,1.029e+03,3.160e+01,1.067e+03
1.6,2.092e+01,6.198e+02,3.918e+01,6.799e+02
3.1,2.207e+01,7.180e+01,2.713e+01,1.210e+02
4.7,2.192e+01,4.453e+02,2.753e+01,4.948e+02
6.3,2.276e+01,1.447e+03,2.901e+01,1.499e+03
7.8,2.471e+01,2.455e+03,2.720e+01,2.507e+03
9.4,2.455e+01,3.838e+03,2.737e+01,3.890e+03
11.0,2.557e+01,5.944e+03,2.574e+01,5.996e+03
12.5,2.995e+01,6.326e+03,2.654e+01,6.383e+03
14.1,3.308e+01,5.194e+03,2.818e+01,5.255e+03
15.7,3.443e+01,6.429e+03,2.683e+01,6.490e+03
17.2,3.797e+01,8.593e+03,2.707e+01,8.658e+03
18.8,3.269e+01,1.088e+04,2.803e+01,1.094e+04
20.4,3.218e+01,1.379e+04,2.923e+01,1.385e+04
21.9,2.909e+01,1.752e+04,3.462e+01,1.758e+04
23.5,2.727e+01,2.211e+04,3.679e+01,2.218e+04
25.1,2.445e+01,2.769e+04,3.156e+01,2.774e+04
26.6,2.506e+01,3.489e+04,3.276e+01,3.495e+04
28.2,2.958e+01,4.402e+04,4.197e+01,4.410e+04
29.8,3.299e+01,5.604e+04,6.616e+01,5.614e+04
31.3,3.094e+01,7.182e+04,1.644e+02,7.201e+04
32.9,3.174e+01,9.358e+04,2.848e+02,9.390e+04
34.5,3.869e+01,1.183e+05,3.291e+02,1.186e+05
36.0,5.289e+01,1.442e+05,2.655e+02,1.445e+05
37.6,6.601e+01,1.894e+05,4.314e+02,1.899e+05
39.1,9.045e+01,2.655e+05,8.129e+02,2.664e+05
40.7,1.237e+02,4.082e+05,1.491e+03,4.098e+05
42.3,1.824e+02,7.026e+05,3.202e+03,7.060e+05
43.8,2.417e+02,1.299e+06,8.350e+03,1.307e+06
45.4,5.247e+02,2.581e+06,2.258e+04,2.604e+06
47.0,1.237e+03,4.109e+06,4.326e+04,4.153e+06
48.5,1.507e+03,4.275e+06,5.142e+04,4.327e+06
50.1,1.183e+03,3.299e+06,4.440e+04,3.344e+06
51.7,9.892e+02,2.322e+06,3.608e+04,2.359e+06
53.2,9.287e+02,1.703e+06,3.130e+04,1.735e+06
54.8,5.382e+02,1.318e+06,2.921e+04,1.348e+06
56.4,3.403e+02,1.024e+06,2.643e+04,1.051e+06
57.9,3.530e+02,8.003e+05,2.169e+04,8.223e+05
59.5,3.849e+02,6.679e+05,1.806e+04,6.863e+05
61.1,4.178e+02,5.850e+05,1.548e+04,6.009e+05
62.6,4.376e+02,5.187e+05,1.724e+04,5.363e+05
64.2,4.348e+02,4.575e+05,2.687e+04,4.848e+05
65.8,4.067e+02,4.066e+05,3.427e+04,4.412e+05
67.3,3.763e+02,3.661e+05,3.499e+04,4.015e+05
68.9,3.845e+02,3.420e+05,3.434e+04,3.767e+05
70.5,3.872e+02,3.227e+05,3.345e+04,3.566e+05
72.0,4.121e+02,3.066e+05,3.292e+04,3.400e+05
73.6,4.889e+02,2.989e+05,3.371e+04,3.331e+05
75.2,5.780e+02,2.886e+05,3.278e+04,3.219e+05
76.7,6.581e+02,2.606e+05,2.815e+04,2.894e+05
78.3,7.827e+02,2.174e+05,2.083e+04,2.390e+05
79.9,8.116e+02,1.739e+05,1.377e+04,1.885e+05
81.4,1.021e+03,1.241e+05,8.208e+03,1.333e+05
83.0,1.307e+03,7.312e+04,5.547e+03,7.998e+04
84.6,1.684e+03,4.550e+04,6.932e+03,5.411e+04
86.1,2.367e+03,3.227e+04,1.116e+04,4.580e+04
87.7,2.833e+03,2.724e+04,1.799e+04,4.806e+04
89.3,2.909e+03,2.829e+04,2.623e+04,5.743e+04
90.8,2.544e+03,3.502e+04,3.542e+04,7.298e+04
92.4,2.210e+03,4.454e+04,4.458e+04,9.133e+04
94.0,2.148e+03,5.463e+04,5.485e+04,1.116e+05
95.5,2.324e+03,6.296e+04,6.794e+04,1.332e+05
97.1,2.645e+03,7.019e+04,8.779e+04,1.606e+05
98.7,2.857e+03,7.113e+04,1.061e+05,1.801e+05
100.2,2.760e+03,6.612e+04,1.212e+05,1.900e+05
101.8,2.845e+03,5.652e+04,1.178e+05,1.772e+05
103.4,3.175e+03,4.588e+04,1.000e+05,1.491e+05
104.9,3.615e+03,3.610e+04,8.147e+04,1.212e+05
106.5,3.256e+03,3.005e+04,7.075e+04,1.041e+05
108.1,3.225e+03,2.737e+04,6.594e+04,9.653e+04
109.6,3.591e+03,2.603e+04,6.733e+04,9.696e+04
111.2,4.073e+03,2.273e+04,6.140e+04,8.820e+04
112.8,4.072e+03,2.008e+04,5.873e+04,8.288e+04
114.3,6.122e+03,2.036e+04,6.315e+04,8.963e+04
115.9,1.127e+04,1.750e+04,4.947e+04,7.825e+04
117.4,1.571e+04,1.360e+04,3.377e+04,6.309e+04
119.0,1.744e+04,1.265e+04,2.645e+04,5.654e+04
